lon_min,lat_min,lon_max,lat_max,value,geometry,_merge
32.0,-13.5,32.25,-13.25,11.428226822226748,,left_only
32.25,-13.5,32.5,-13.25,25.29491581703576,,left_only
32.5,-13.5,32.75,-13.25,54.37660702334392,,left_only
32.75,-13.5,33.0,-13.25,57.94995959362564,,left_only
33.0,-13.5,33.25,-13.25,58.85318098398511,,left_only
33.25,-13.5,33.5,-13.25,90.27819423102312,,left_only
33.5,-13.5,33.75,-13.25,131.47497979681282,,left_only
33.75,-13.5,34.0,-13.25,124.57007990981332,,left_only
34.0,-13.5,34.25,-13.25,81.45345047178307,,left_only
34.25,-13.5,34.5,-13.25,41.03344317202527,,left_only
35.0,-13.5,35.25,-13.25,36.70498507883269,,left_only
35.25,-13.5,35.5,-13.25,76.70844117624426,,left_only
35.5,-13.5,35.75,-13.25,15.306690541047828,,left_only
36.0,-13.5,36.25,-13.25,10.198350186978246,,left_only
37.25,-13.5,37.5,-13.25,10.963313710146169,,left_only
37.5,-13.5,37.75,-13.25,16.630018335296654,,left_only
38.25,-13.5,38.5,-13.25,24.564934839549665,,left_only
38.5,-13.5,38.75,-13.25,49.0083186266005,,left_only
38.75,-13.5,39.0,-13.25,54.58341925501395,,left_only
39.0,-13.5,39.25,-13.25,29.393387694636203,,left_only
39.25,-13.5,39.5,-13.25,15.029947055761795,,left_only
39.5,-13.5,39.75,-13.25,33.03992940768239,,left_only
39.75,-13.5,40.0,-13.25,49.371744494155,,left_only
40.0,-13.5,40.25,-13.25,23.5783289749221,,left_only
40.25,-13.5,40.5,-13.25,18.041692237134043,,left_only
40.5,-13.5,40.75,-13.25,19.221756216911103,,left_only
15.75,-13.25,16.0,-13.0,36.860078407488345,,left_only
16.0,-13.25,16.25,-13.0,22.246697325392688,,left_only
16.25,-13.25,16.5,-13.0,10.788340010460956,,left_only
22.5,-13.25,22.75,-13.0,12.94002155566477,,left_only
24.25,-13.25,24.5,-13.0,11.10498336078956,,left_only
25.0,-13.25,25.25,-13.0,14.040028511813944,,left_only
25.75,-13.25,26.0,-13.0,11.676672205751174,,left_only
27.75,-13.25,28.0,-13.0,17.12497760727058,,left_only
28.0,-13.25,28.25,-13.0,66.07991790064443,,left_only
28.25,-13.25,28.5,-13.0,121.51481439547148,,left_only
28.5,-13.25,28.75,-13.0,184.0119476847432,,left_only
28.75,-13.25,29.0,-13.0,45.54175656051973,,left_only
30.0,-13.25,30.25,-13.0,22.78499778850085,,left_only
30.25,-13.25,30.5,-13.0,15.613366310775746,,left_only
30.5,-13.25,30.75,-13.0,10.318336618288528,,left_only
31.75,-13.25,32.0,-13.0,19.985026472119102,,left_only
32.5,-13.25,32.75,-13.0,17.853294859436573,,left_only
32.75,-13.25,33.0,-13.0,28.34835323554205,,left_only
33.0,-13.25,33.25,-13.0,21.188070522663,,left_only
33.25,-13.25,33.5,-13.0,88.6498839350063,,left_only
33.5,-13.25,33.75,-13.0,123.56345455117275,,left_only
33.75,-13.25,34.0,-13.0,93.27172276668593,,left_only
34.0,-13.25,34.25,-13.0,64.55844860389254,,left_only
34.25,-13.25,34.5,-13.0,35.47010249630398,,left_only
35.0,-13.25,35.25,-13.0,30.67148282152777,,left_only
35.25,-13.25,35.5,-13.0,57.86333200152899,,left_only
35.5,-13.25,35.75,-13.0,17.085033428268275,,left_only
37.25,-13.25,37.5,-13.0,11.856637081396684,,left_only
37.5,-13.25,37.75,-13.0,21.44172006173073,,left_only
38.25,-13.25,38.5,-13.0,12.141585317831757,,left_only
38.5,-13.25,38.75,-13.0,26.968176239335094,,left_only
38.75,-13.25,39.0,-13.0,58.12007076412192,,left_only
39.0,-13.25,39.25,-13.0,37.64840364662939,,left_only
39.25,-13.25,39.5,-13.0,17.556616212949166,,left_only
39.5,-13.25,39.75,-13.0,29.839999828195687,,left_only
39.75,-13.25,40.0,-13.0,33.615015264775934,,left_only
40.0,-13.25,40.25,-13.0,19.158237342352663,,left_only
40.25,-13.25,40.5,-13.0,39.32833374152904,,left_only
40.5,-13.25,40.75,-13.0,50.328432845660586,,left_only
15.75,-13.0,16.0,-12.75,77.72691082038864,,left_only
16.0,-13.0,16.25,-12.75,24.246697325392688,,left_only
16.25,-13.0,16.5,-12.75,23.08671192490829,,left_only
16.5,-13.0,16.75,-12.75,13.675023251750986,,left_only
27.5,-13.0,27.75,-12.75,14.341628772769925,,left_only
27.75,-13.0,28.0,-12.75,58.55804171115426,,left_only
28.0,-13.0,28.25,-12.75,154.6151038926954,,left_only
28.25,-13.0,28.5,-12.75,167.91682850531492,,left_only
28.5,-13.0,28.75,-12.75,166.05546372260494,,left_only
28.75,-13.0,29.0,-12.75,38.63672802674887,,left_only
